"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.75482672120247e-198,2.8272487164167,0.836,0.224,1.38466339422538e-193,"10","NKX6-1"
7.67053821460328e-179,4.15659548974772,0.288,0.02,1.21317232402165e-174,"10","PLCH2"
7.65264497278538e-175,3.29881180077877,0.704,0.167,1.21034232889574e-170,"10","TSPAN1"
5.41051933328355e-107,2.9283642252135,0.321,0.046,8.55727737752126e-103,"10","RXRG"
0,10.3759391698939,0.288,0,0,"11","PPY2P"
0,8.20971457456081,0.266,0.003,0,"11","CARTPT"
4.96379207034542e-275,9.46252822720885,0.967,0.227,7.85073353845832e-271,"11","PPY"
1.12437797282296e-252,5.49988974535544,0.314,0.012,1.77831620181679e-248,"11","SERTM1"
1.28042364560492e-173,4.58773797328922,0.31,0.02,2.02511803788875e-169,"11","CHRM3"
5.135230250574e-171,4.6061444374731,0.259,0.013,8.12188016430783e-167,"11","KCNG1"
9.42188639029956e-156,3.73627947810665,0.453,0.053,1.49016555148978e-151,"11","CARD11"
5.53778872072841e-129,3.97615459216082,0.325,0.032,8.75856664070406e-125,"11","SLC6A4"
1.27369115430711e-124,4.0169060976169,0.814,0.295,2.01446992965212e-120,"11","AQP3"
1.84069126382478e-114,3.61788949993901,0.372,0.049,2.91123730286526e-110,"11","ENTPD2"
0,10.4827093931993,0.975,0.009,0,"12","PLVAP"
0,10.1679188933956,0.883,0.004,0,"12","FLT1"
0,10.332106016502,0.808,0.002,0,"12","SOX18"
0,11.1812523542548,0.804,0.001,0,"12","KDR"
0,9.77833905890187,0.787,0.002,0,"12","PCAT19"
0,10.1383571389697,0.733,0.001,0,"12","ROBO4"
0,9.82525032527288,0.679,0.003,0,"12","VWF"
0,10.859830556983,0.671,0.001,0,"12","ADGRL4"
0,10.5998302112389,0.646,0.001,0,"12","ECSCR"
0,10.412026396366,0.496,0,0,"12","CDH5"
2.44713975218432e-317,5.08604738182364,0.58,0.026,3.87039623205472e-313,"13","LGALS2"
2.88256078080919e-308,5.43582971012889,0.911,0.083,4.55905813092781e-304,"13","ALDOB"
4.66174000714609e-302,5.43757505455046,0.657,0.038,7.37300799530226e-298,"13","LYZ"
7.39161925269448e-283,5.47489223471473,0.349,0.008,1.16905850100616e-278,"13","UBD"
1.27346477927444e-272,5.87733745984437,0.787,0.069,2.01411189490046e-268,"13","OLFM4"
8.91407726787564e-257,6.26941771802622,0.657,0.047,1.40985046068721e-252,"13","ALB"
1.98294962853608e-251,4.99545919672114,0.751,0.066,3.13623313249266e-247,"13","RARRES2"
3.32751339727692e-244,5.32624815335959,0.331,0.009,5.26279518913317e-240,"13","TCN1"
3.08797468588907e-222,6.87076021514406,0.805,0.094,4.88394076320215e-218,"13","REG3A"
1.17219254100082e-158,5.26164626991807,0.284,0.012,1.8539397228469e-154,"13","ADH1C"
0,11.4902203364992,0.821,0.002,0,"14","TYROBP"
0,10.339478891618,0.714,0.001,0,"14","CD53"
0,12.157767975798,0.56,0.001,0,"14","SDS"
0,13.2240016741981,0.536,0,0,"14","C1QC"
0,10.903146613976,0.488,0.001,0,"14","C1QB"
0,11.5663938716452,0.44,0.001,0,"14","C1QA"
0,11.0036116057728,0.405,0,0,"14","MPEG1"
0,11.2537490175922,0.405,0,0,"14","PLA2G7"
0,10.361505197948,0.369,0,0,"14","MS4A7"
0,10.8316842514193,0.357,0.001,0,"14","VSIG4"
2.30692343150013e-15,1.5226486804596,1,0.729,3.64863009926061e-11,"15","GCG"
3.71920835732913e-13,1.59374977239005,0.733,0.262,5.88229993795175e-09,"15","GC"
5.01957315553426e-10,1.54724930420801,0.556,0.19,7.93895690279299e-06,"15","FEV"
2.2113163192871e-09,1.64007630055442,0.6,0.244,3.49741789058448e-05,"15","MUC13"
4.53144506817164e-09,1.48551259211637,0.489,0.16,7.16693351982026e-05,"15","VSTM2L"
0.000152305678280372,1.68792421845955,0.444,0.234,1,"15","CAMK2G"
0.000168632448105287,1.53210832675907,0.356,0.162,1,"15","GRIA3"
0.000173591054416337,1.43768406702576,0.267,0.098,1,"15","MLF1"
0.00171860915235012,1.43884612511588,0.267,0.119,1,"15","CYLD"
0.00312930524137149,1.55752383703176,0.267,0.127,1,"15","SOCS1"
